Product_Name,Pricing,Ratings
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹10,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹11,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)","₹11,999","4.41,37,239 Ratings & 7,920 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹15,999","4.31,78,707 Ratings & 14,008 Reviews"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,499","4.38,529 Ratings & 386 Reviews"
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹8,499","4.38,529 Ratings & 386 Reviews"
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","₹15,999","4.31,78,707 Ratings & 14,008 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹15,999","4.31,78,707 Ratings & 14,008 Reviews"
SAMSUNG Guru Music 2,"₹2,098","4.32,02,173 Ratings & 18,642 Reviews"
SAMSUNG Guru Music 2,"₹2,098","4.32,02,173 Ratings & 18,642 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹15,990","4.22,556 Ratings & 259 Reviews"
"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹14,999","4.240,351 Ratings & 3,130 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹14,490","4.21,539 Ratings & 146 Reviews"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹14,490","4.21,539 Ratings & 146 Reviews"
SAMSUNG Guru Music 2,"₹2,149","4.32,02,173 Ratings & 18,642 Reviews"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹15,990","4.22,556 Ratings & 259 Reviews"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹14,490","4.21,539 Ratings & 146 Reviews"
SAMSUNG Guru Music 2,"₹2,095","4.32,02,173 Ratings & 18,642 Reviews"
SAMSUNG GURU MUSIC 2,"₹2,089","4.13,694 Ratings & 290 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999","4.240,351 Ratings & 3,130 Reviews"
SAMSUNG Guru Music 2,"₹2,098","4.32,02,173 Ratings & 18,642 Reviews"
